system_id,method,outer_iteration,func_count,optimize_time,magsigma2,current_max,ls_H-H,ls_H-C,ls_C-C,dist_from_known,threshold,stopped_early
d_110,OTGPD,0,52,17.8893,0.564626,9.40611,0.195778,0.600928,1.82872,0.0291716,0.173438,False
d_110,OTGPD,0,52,17.8893,0.564626,9.40611,0.195778,0.600928,1.82872,0.0436896,0.173438,False
d_110,OTGPD,0,52,17.8893,0.564626,9.40611,0.195778,0.600928,1.82872,0.0580092,0.173438,False
d_110,OTGPD,0,52,17.8893,0.564626,9.40611,0.195778,0.600928,1.82872,0.0717865,0.173438,False
d_110,OTGPD,0,52,17.8893,0.564626,9.40611,0.195778,0.600928,1.82872,0.0830954,0.173438,False
d_110,OTGPD,0,52,17.8893,0.564626,9.40611,0.195778,0.600928,1.82872,0.0888424,0.173438,False
d_110,OTGPD,0,52,17.8893,0.564626,9.40611,0.195778,0.600928,1.82872,0.0958693,0.173438,False
d_110,OTGPD,0,52,17.8893,0.564626,9.40611,0.195778,0.600928,1.82872,0.0989732,0.173438,False
d_110,OTGPD,1,12,5.38913,0.50596,8.97354,0.173906,0.50986,1.83698,0.0339219,0.177934,False
d_110,OTGPD,1,12,5.38913,0.50596,8.97354,0.173906,0.50986,1.83698,0.0443778,0.177934,False
d_110,OTGPD,1,12,5.38913,0.50596,8.97354,0.173906,0.50986,1.83698,0.0554727,0.177934,False
d_110,OTGPD,1,12,5.38913,0.50596,8.97354,0.173906,0.50986,1.83698,0.0562423,0.177934,False
d_110,OTGPD,1,12,5.38913,0.50596,8.97354,0.173906,0.50986,1.83698,0.0632364,0.177934,False
d_110,OTGPD,1,12,5.38913,0.50596,8.97354,0.173906,0.50986,1.83698,0.0657381,0.177934,False
d_110,OTGPD,1,12,5.38913,0.50596,8.97354,0.173906,0.50986,1.83698,0.0732437,0.177934,False
d_110,OTGPD,1,12,5.38913,0.50596,8.97354,0.173906,0.50986,1.83698,0.0759172,0.177934,False
d_110,OTGPD,1,12,5.38913,0.50596,8.97354,0.173906,0.50986,1.83698,0.0853041,0.177934,False
d_110,OTGPD,2,12,7.21735,0.514705,4.04921,0.198041,0.421655,1.57925,0.0367011,0.182368,False
d_110,OTGPD,2,12,7.21735,0.514705,4.04921,0.198041,0.421655,1.57925,0.0443991,0.182368,False
d_110,OTGPD,2,12,7.21735,0.514705,4.04921,0.198041,0.421655,1.57925,0.0519378,0.182368,False
d_110,OTGPD,2,12,7.21735,0.514705,4.04921,0.198041,0.421655,1.57925,0.0600128,0.182368,False
d_110,OTGPD,2,12,7.21735,0.514705,4.04921,0.198041,0.421655,1.57925,0.0569183,0.182368,False
d_110,OTGPD,2,12,7.21735,0.514705,4.04921,0.198041,0.421655,1.57925,0.0554431,0.182368,False
d_110,OTGPD,2,12,7.21735,0.514705,4.04921,0.198041,0.421655,1.57925,0.0585742,0.182368,False
d_110,OTGPD,2,12,7.21735,0.514705,4.04921,0.198041,0.421655,1.57925,0.0648185,0.182368,False
d_110,OTGPD,3,20,16.053,0.592635,8.44579,0.227203,0.405507,1.2248,0.0245906,0.186741,False
d_110,OTGPD,3,20,16.053,0.592635,8.44579,0.227203,0.405507,1.2248,0.0361294,0.186741,False
d_110,OTGPD,3,20,16.053,0.592635,8.44579,0.227203,0.405507,1.2248,0.0346459,0.186741,False
d_110,OTGPD,3,20,16.053,0.592635,8.44579,0.227203,0.405507,1.2248,0.0370624,0.186741,False
d_110,OTGPD,3,20,16.053,0.592635,8.44579,0.227203,0.405507,1.2248,0.0420813,0.186741,False
d_110,OTGPD,3,20,16.053,0.592635,8.44579,0.227203,0.405507,1.2248,0.0541615,0.186741,False
d_110,OTGPD,3,20,16.053,0.592635,8.44579,0.227203,0.405507,1.2248,0.0657169,0.186741,False
d_110,OTGPD,3,20,16.053,0.592635,8.44579,0.227203,0.405507,1.2248,0.0632215,0.186741,False
d_110,OTGPD,3,20,16.053,0.592635,8.44579,0.227203,0.405507,1.2248,0.0642547,0.186741,False
d_110,OTGPD,3,20,16.053,0.592635,8.44579,0.227203,0.405507,1.2248,0.0770658,0.186741,False
d_110,OTGPD,3,20,16.053,0.592635,8.44579,0.227203,0.405507,1.2248,0.0783029,0.186741,False
d_110,OTGPD,3,20,16.053,0.592635,8.44579,0.227203,0.405507,1.2248,0.0825579,0.186741,False
d_110,OTGPD,3,20,16.053,0.592635,8.44579,0.227203,0.405507,1.2248,0.0941664,0.186741,False
d_110,OTGPD,3,20,16.053,0.592635,8.44579,0.227203,0.405507,1.2248,0.0963262,0.186741,False
d_110,OTGPD,3,20,16.053,0.592635,8.44579,0.227203,0.405507,1.2248,0.100266,0.186741,False
d_110,OTGPD,3,20,16.053,0.592635,8.44579,0.227203,0.405507,1.2248,0.108778,0.186741,False
d_110,OTGPD,3,20,16.053,0.592635,8.44579,0.227203,0.405507,1.2248,0.121136,0.186741,False
d_110,OTGPD,3,20,16.053,0.592635,8.44579,0.227203,0.405507,1.2248,0.121374,0.186741,False
d_110,OTGPD,3,20,16.053,0.592635,8.44579,0.227203,0.405507,1.2248,0.122783,0.186741,False
d_110,OTGPD,3,20,16.053,0.592635,8.44579,0.227203,0.405507,1.2248,0.12601,0.186741,False
d_110,OTGPD,3,20,16.053,0.592635,8.44579,0.227203,0.405507,1.2248,0.136557,0.186741,False
d_110,OTGPD,3,20,16.053,0.592635,8.44579,0.227203,0.405507,1.2248,0.137391,0.186741,False
d_110,OTGPD,4,28,28.5559,1.33053,1.68324,0.284541,0.485417,1.05956,0.0256088,0.191054,False
d_110,OTGPD,4,28,28.5559,1.33053,1.68324,0.284541,0.485417,1.05956,0.037542,0.191054,False
d_110,OTGPD,4,28,28.5559,1.33053,1.68324,0.284541,0.485417,1.05956,0.0470923,0.191054,False
d_110,OTGPD,4,28,28.5559,1.33053,1.68324,0.284541,0.485417,1.05956,0.0536352,0.191054,False
d_110,OTGPD,4,28,28.5559,1.33053,1.68324,0.284541,0.485417,1.05956,0.0619518,0.191054,False
d_110,OTGPD,4,28,28.5559,1.33053,1.68324,0.284541,0.485417,1.05956,0.0656566,0.191054,False
d_110,OTGPD,4,28,28.5559,1.33053,1.68324,0.284541,0.485417,1.05956,0.0753054,0.191054,False
d_110,OTGPD,5,18,22.1144,1.96486,3.25987,0.316607,0.556168,1.12041,0.0154551,0.195307,False
d_110,OTGPD,5,18,22.1144,1.96486,3.25987,0.316607,0.556168,1.12041,0.0166575,0.195307,False
d_110,OTGPD,5,18,22.1144,1.96486,3.25987,0.316607,0.556168,1.12041,0.0281777,0.195307,False
d_110,OTGPD,5,18,22.1144,1.96486,3.25987,0.316607,0.556168,1.12041,0.0293269,0.195307,False
d_110,OTGPD,5,18,22.1144,1.96486,3.25987,0.316607,0.556168,1.12041,0.0401991,0.195307,False
d_110,OTGPD,5,18,22.1144,1.96486,3.25987,0.316607,0.556168,1.12041,0.0515436,0.195307,False
d_110,OTGPD,5,18,22.1144,1.96486,3.25987,0.316607,0.556168,1.12041,0.064213,0.195307,False
d_110,OTGPD,5,18,22.1144,1.96486,3.25987,0.316607,0.556168,1.12041,0.063956,0.195307,False
d_110,OTGPD,5,18,22.1144,1.96486,3.25987,0.316607,0.556168,1.12041,0.06372,0.195307,False
d_110,OTGPD,5,18,22.1144,1.96486,3.25987,0.316607,0.556168,1.12041,0.0635191,0.195307,False
d_110,OTGPD,5,18,22.1144,1.96486,3.25987,0.316607,0.556168,1.12041,0.0635556,0.195307,False
d_110,OTGPD,5,18,22.1144,1.96486,3.25987,0.316607,0.556168,1.12041,0.0652814,0.195307,False
d_110,OTGPD,5,18,22.1144,1.96486,3.25987,0.316607,0.556168,1.12041,0.0703909,0.195307,False
d_110,OTGPD,5,18,22.1144,1.96486,3.25987,0.316607,0.556168,1.12041,0.0713784,0.195307,False
d_110,OTGPD,5,18,22.1144,1.96486,3.25987,0.316607,0.556168,1.12041,0.0727562,0.195307,False
d_110,OTGPD,5,18,22.1144,1.96486,3.25987,0.316607,0.556168,1.12041,0.0779322,0.195307,False
d_110,OTGPD,5,18,22.1144,1.96486,3.25987,0.316607,0.556168,1.12041,0.0840693,0.195307,False
d_110,OTGPD,5,18,22.1144,1.96486,3.25987,0.316607,0.556168,1.12041,0.0874775,0.195307,False
d_110,OTGPD,6,6,6.47341,1.96818,0.924467,0.320939,0.558517,1.07866,0.0189593,0.199502,False
d_110,OTGPD,6,6,6.47341,1.96818,0.924467,0.320939,0.558517,1.07866,0.0229512,0.199502,False
d_110,OTGPD,6,6,6.47341,1.96818,0.924467,0.320939,0.558517,1.07866,0.0302085,0.199502,False
d_110,OTGPD,6,6,6.47341,1.96818,0.924467,0.320939,0.558517,1.07866,0.0305789,0.199502,False
d_110,OTGPD,6,6,6.47341,1.96818,0.924467,0.320939,0.558517,1.07866,0.0327257,0.199502,False
d_110,OTGPD,6,6,6.47341,1.96818,0.924467,0.320939,0.558517,1.07866,0.0367668,0.199502,False
d_110,OTGPD,6,6,6.47341,1.96818,0.924467,0.320939,0.558517,1.07866,0.0475502,0.199502,False
d_110,OTGPD,6,6,6.47341,1.96818,0.924467,0.320939,0.558517,1.07866,0.0479517,0.199502,False
d_110,OTGPD,6,6,6.47341,1.96818,0.924467,0.320939,0.558517,1.07866,0.0486532,0.199502,False
d_110,OTGPD,7,4,3.89778,1.97672,1.20519,0.320468,0.553896,1.07488,0.00684322,0.203639,False
d_110,OTGPD,7,4,3.89778,1.97672,1.20519,0.320468,0.553896,1.07488,0.00876795,0.203639,False
d_110,OTGPD,7,4,3.89778,1.97672,1.20519,0.320468,0.553896,1.07488,0.0119245,0.203639,False
d_110,OTGPD,7,4,3.89778,1.97672,1.20519,0.320468,0.553896,1.07488,0.0132708,0.203639,False
d_110,OTGPD,7,4,3.89778,1.97672,1.20519,0.320468,0.553896,1.07488,0.0155522,0.203639,False
d_110,OTGPD,7,4,3.89778,1.97672,1.20519,0.320468,0.553896,1.07488,0.0191163,0.203639,False
d_110,OTGPD,7,4,3.89778,1.97672,1.20519,0.320468,0.553896,1.07488,0.0235835,0.203639,False
d_110,OTGPD,7,4,3.89778,1.97672,1.20519,0.320468,0.553896,1.07488,0.0247478,0.203639,False
d_110,OTGPD,8,6,6.51562,1.98142,0.374654,0.321673,0.539997,1.06736,0.00524273,0.207719,False
d_110,OTGPD,8,6,6.51562,1.98142,0.374654,0.321673,0.539997,1.06736,0.00693634,0.207719,False
d_110,OTGPD,8,6,6.51562,1.98142,0.374654,0.321673,0.539997,1.06736,0.00826479,0.207719,False
d_110,OTGPD,9,6,6.49165,1.97385,0.492251,0.327694,0.534714,1.05935,0.00193915,0.211743,False
d_110,OTGPD,9,6,6.49165,1.97385,0.492251,0.327694,0.534714,1.05935,0.00301619,0.211743,False
d_110,OTGPD,9,6,6.49165,1.97385,0.492251,0.327694,0.534714,1.05935,0.00589522,0.211743,False
d_110,OTGPD,9,6,6.49165,1.97385,0.492251,0.327694,0.534714,1.05935,0.0111267,0.211743,False
d_110,OTGPD,9,6,6.49165,1.97385,0.492251,0.327694,0.534714,1.05935,0.0105125,0.211743,False
d_110,OTGPD,9,6,6.49165,1.97385,0.492251,0.327694,0.534714,1.05935,0.0107367,0.211743,False
d_110,OTGPD,9,6,6.49165,1.97385,0.492251,0.327694,0.534714,1.05935,0.0130138,0.211743,False
d_110,OTGPD,9,6,6.49165,1.97385,0.492251,0.327694,0.534714,1.05935,0.015557,0.211743,False
d_110,OTGPD,9,6,6.49165,1.97385,0.492251,0.327694,0.534714,1.05935,0.02295,0.211743,False
d_110,OTGPD,9,6,6.49165,1.97385,0.492251,0.327694,0.534714,1.05935,0.0235208,0.211743,False
d_110,OTGPD,9,6,6.49165,1.97385,0.492251,0.327694,0.534714,1.05935,0.0232634,0.211743,False
d_110,OTGPD,9,6,6.49165,1.97385,0.492251,0.327694,0.534714,1.05935,0.0248817,0.211743,False
d_110,OTGPD,9,6,6.49165,1.97385,0.492251,0.327694,0.534714,1.05935,0.0287952,0.211743,False
d_110,OTGPD,9,6,6.49165,1.97385,0.492251,0.327694,0.534714,1.05935,0.0308886,0.211743,False
d_110,OTGPD,9,6,6.49165,1.97385,0.492251,0.327694,0.534714,1.05935,0.0328871,0.211743,False
d_110,OTGPD,9,6,6.49165,1.97385,0.492251,0.327694,0.534714,1.05935,0.0348968,0.211743,False
d_110,OTGPD,9,6,6.49165,1.97385,0.492251,0.327694,0.534714,1.05935,0.0372651,0.211743,False
d_110,OTGPD,9,6,6.49165,1.97385,0.492251,0.327694,0.534714,1.05935,0.0386845,0.211743,False
d_110,OTGPD,9,6,6.49165,1.97385,0.492251,0.327694,0.534714,1.05935,0.0382409,0.211743,False
d_110,OTGPD,10,8,9.07118,1.99195,0.267315,0.334499,0.549238,1.02395,0.00297451,0.215712,False
d_110,OTGPD,10,8,9.07118,1.99195,0.267315,0.334499,0.549238,1.02395,0.00544744,0.215712,False
d_110,OTGPD,10,8,9.07118,1.99195,0.267315,0.334499,0.549238,1.02395,0.00744489,0.215712,False
d_110,OTGPD,10,8,9.07118,1.99195,0.267315,0.334499,0.549238,1.02395,0.00761409,0.215712,False
d_110,OTGPD,10,8,9.07118,1.99195,0.267315,0.334499,0.549238,1.02395,0.00759212,0.215712,False
d_110,OTGPD,11,4,3.8879,1.98679,0.067136,0.334284,0.5492,1.02362,0.00140454,0.219626,False
d_110,OTGPD,11,4,3.8879,1.98679,0.067136,0.334284,0.5492,1.02362,0.0019067,0.219626,False
d_110,OTGPD,11,4,3.8879,1.98679,0.067136,0.334284,0.5492,1.02362,0.0026054,0.219626,False
d_110,OTGPD,11,4,3.8879,1.98679,0.067136,0.334284,0.5492,1.02362,0.00272639,0.219626,False
d_110,OTGPD,12,4,3.89627,1.97825,0.0492538,0.333967,0.549687,1.02593,0.000462555,0.223486,False
d_110,OTGPD,12,4,3.89627,1.97825,0.0492538,0.333967,0.549687,1.02593,0.000734546,0.223486,False
d_110,OTGPD,12,4,3.89627,1.97825,0.0492538,0.333967,0.549687,1.02593,0.00139945,0.223486,False
d_110,OTGPD,12,4,3.89627,1.97825,0.0492538,0.333967,0.549687,1.02593,0.00245252,0.223486,False
d_110,OTGPD,12,4,3.89627,1.97825,0.0492538,0.333967,0.549687,1.02593,0.0024549,0.223486,False
d_110,OTGPD,12,4,3.89627,1.97825,0.0492538,0.333967,0.549687,1.02593,0.00264901,0.223486,False
d_110,OTGPD,12,4,3.89627,1.97825,0.0492538,0.333967,0.549687,1.02593,0.00303373,0.223486,False
d_110,OTGPD,12,4,3.89627,1.97825,0.0492538,0.333967,0.549687,1.02593,0.00363249,0.223486,False
d_110,OTGPD,12,4,3.89627,1.97825,0.0492538,0.333967,0.549687,1.02593,0.00400321,0.223486,False
d_110,OTGPD,13,10,11.6015,1.97365,0.0213608,0.32934,0.542241,1.0794,0.000310477,0.227292,False
d_110,OTGPD,13,10,11.6015,1.97365,0.0213608,0.32934,0.542241,1.0794,0.000382823,0.227292,False
d_110,OTGPD,13,10,11.6015,1.97365,0.0213608,0.32934,0.542241,1.0794,0.000799828,0.227292,False
d_110,OTGPD,13,10,11.6015,1.97365,0.0213608,0.32934,0.542241,1.0794,0.00103209,0.227292,False
d_110,OTGPD,13,10,11.6015,1.97365,0.0213608,0.32934,0.542241,1.0794,0.00101135,0.227292,False
d_110,OTGPD,13,10,11.6015,1.97365,0.0213608,0.32934,0.542241,1.0794,0.00105896,0.227292,False
d_110,OTGPD,13,10,11.6015,1.97365,0.0213608,0.32934,0.542241,1.0794,0.00119979,0.227292,False
d_110,OTGPD,13,10,11.6015,1.97365,0.0213608,0.32934,0.542241,1.0794,0.00146379,0.227292,False
d_110,OTGPD,13,10,11.6015,1.97365,0.0213608,0.32934,0.542241,1.0794,0.00155187,0.227292,False
d_110,OTGPD,14,4,3.89058,1.9646,0.0117315,0.331152,0.541708,1.08153,0.00013675,0.231047,False
d_110,OTGPD,14,4,3.89058,1.9646,0.0117315,0.331152,0.541708,1.08153,0.000293394,0.231047,False
d_110,OTGPD,14,4,3.89058,1.9646,0.0117315,0.331152,0.541708,1.08153,0.000572257,0.231047,False
d_110,OTGPD,14,4,3.89058,1.9646,0.0117315,0.331152,0.541708,1.08153,0.000559209,0.231047,False
d_110,OTGPD,14,4,3.89058,1.9646,0.0117315,0.331152,0.541708,1.08153,0.000568855,0.231047,False
d_110,OTGPD,14,4,3.89058,1.9646,0.0117315,0.331152,0.541708,1.08153,0.000649282,0.231047,False
d_110,OTGPD,14,4,3.89058,1.9646,0.0117315,0.331152,0.541708,1.08153,0.000740237,0.231047,False
d_110,OTGPD,14,4,3.89058,1.9646,0.0117315,0.331152,0.541708,1.08153,0.000934246,0.231047,False
d_110,OTGPD,14,4,3.89058,1.9646,0.0117315,0.331152,0.541708,1.08153,0.00101603,0.231047,False
d_110,OTGPD,14,4,3.89058,1.9646,0.0117315,0.331152,0.541708,1.08153,0.00109807,0.231047,False
d_110,OTGPD,14,4,3.89058,1.9646,0.0117315,0.331152,0.541708,1.08153,0.00120141,0.231047,False
d_110,OTGPD,14,4,3.89058,1.9646,0.0117315,0.331152,0.541708,1.08153,0.00126579,0.231047,False
d_110,OTGPD,15,4,3.88952,1.96984,,0.33063,0.538063,1.08175,0.000156583,0.23475,False
d_110,OTGPD,15,4,3.88952,1.96984,,0.33063,0.538063,1.08175,0.000177297,0.23475,False
